Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Sales,Rating
BB0039,17.24,Low Fat,0.076,Soft Drinks,OUT046,2009,Small,Tier 3,Hypermarket,2941.76,1
BB0040,12.51,Regular,0.17,Dairy,OUT046,2015,Small,Tier 1,Supermarket,2541.02,4
BB0041,16.67,Low Fat,0.058,Canned,OUT035,2009,Small,Tier 1,Hypermarket,3299.04,3.3
BB0042,13.66,Low Fat,0.108,Canned,OUT046,1996,High,Tier 1,Grocery Store,4322.9,2.3
BB0043,6.18,Non-Edible,0.156,Dairy,OUT027,2011,High,Tier 2,Supermarket,4546.01,4.7
BB0044,15.07,Low Fat,0.167,Fruits,OUT027,1997,Medium,Tier 3,Grocery Store,1817.07,2.3
BB0045,12.36,Low Fat,0.096,Vegetables,OUT049,2016,Small,Tier 1,Grocery Store,641.69,2.2
BB0046,10.26,Non-Edible,0.067,Vegetables,OUT046,2005,Medium,Tier 1,Hypermarket,3978.71,4.5
BB0047,12.41,Non-Edible,0.032,Soft Drinks,OUT018,2001,Medium,Tier 2,Supermarket,567.29,4.8
BB0048,16.3,Low Fat,0.086,Soft Drinks,OUT049,2012,Small,Tier 3,Supermarket,2981.57,2.3
BB0049,9.38,Regular,0.151,Baking Goods,OUT018,2013,Small,Tier 1,Grocery Store,4265.32,3.2
BB0050,13.21,Regular,0.164,Fruits,OUT018,2018,Small,Tier 1,Hypermarket,4612.75,3.9
BB0051,11.4,Low Fat,0.052,Baking Goods,OUT046,2000,Medium,Tier 2,Supermarket,3374.9,5
BB0052,12.32,Low Fat,0.018,Vegetables,OUT018,2013,Small,Tier 2,Hypermarket,1985.26,3.8
BB0053,7.12,Regular,0.032,Baking Goods,OUT046,2009,High,Tier 2,Grocery Store,1202.78,1.2
BB0054,18.88,Regular,0.099,Baking Goods,OUT049,2011,High,Tier 2,Grocery Store,4846.49,2
BB0055,8.86,Low Fat,0.189,Snacks,OUT045,1999,High,Tier 1,Supermarket,1503.19,4.6
BB0056,8.31,Regular,0.184,Dairy,OUT035,2008,High,Tier 1,Grocery Store,918.64,1.2
BB0057,16.31,Low Fat,0.021,Soft Drinks,OUT035,1996,High,Tier 3,Hypermarket,2945.41,2.5
BB0058,8.56,Regular,0.137,Baking Goods,OUT019,2017,Small,Tier 2,Supermarket,590.12,1.6
BB0059,17.51,Regular,0.024,Frozen Foods,OUT018,2000,Medium,Tier 2,Grocery Store,2506.09,1.8
BB0060,4.26,Low Fat,0.17,Frozen Foods,OUT018,2000,Small,Tier 3,Grocery Store,778.9,2.7
BB0061,7.7,Non-Edible,0.02,Vegetables,OUT045,2016,Small,Tier 3,Grocery Store,1029.84,3.1
BB0062,13.37,Regular,0.087,Baking Goods,OUT049,2014,High,Tier 2,Grocery Store,2010.22,4.8
BB0063,6.16,Non-Edible,0.088,Baking Goods,OUT018,2001,High,Tier 1,Supermarket,4913.82,2.1
BB0064,8.96,Non-Edible,0.09,Vegetables,OUT046,2005,High,Tier 2,Hypermarket,1900.76,2.9
BB0065,14.66,Regular,0.019,Dairy,OUT027,2020,Medium,Tier 1,Supermarket,1508.01,1.7
BB0066,14.73,Low Fat,0.069,Health,OUT045,2002,Small,Tier 3,Grocery Store,3897.84,2.9
BB0067,11.48,Low Fat,0.06,Dairy,OUT045,1996,High,Tier 3,Grocery Store,929.82,3.2
BB0068,5.6,Non-Edible,0.162,Soft Drinks,OUT045,1996,High,Tier 3,Grocery Store,3607.75,1.4
BB0069,15.43,Non-Edible,0.1,Fruits,OUT049,2022,High,Tier 2,Hypermarket,1799.01,3
BB0070,5.57,Regular,0.172,Canned,OUT046,2003,High,Tier 2,Hypermarket,4671.19,1.6
BB0071,4.13,Low Fat,0.02,Health,OUT018,1997,Small,Tier 1,Supermarket,1038.99,1.8
BB0072,2.92,Regular,0.106,Vegetables,OUT019,2019,Medium,Tier 1,Grocery Store,2127.68,4.6
BB0073,18.78,Regular,0.127,Vegetables,OUT027,2019,Small,Tier 1,Supermarket,651.5,1.3
BB0074,7.95,Non-Edible,0.016,Health,OUT019,2007,Medium,Tier 2,Grocery Store,3739.43,1.5
BB0075,12.18,Non-Edible,0.15,Fruits,OUT019,2020,Small,Tier 3,Supermarket,2955.18,2.7
BB0076,4.57,Regular,0.138,Baking Goods,OUT045,2012,High,Tier 1,Hypermarket,3632.43,4.7
BB0077,16.87,Low Fat,0.077,Snacks,OUT045,2020,Small,Tier 1,Supermarket,4019.04,4.1
BB0078,9.06,Non-Edible,0.18,Snacks,OUT027,2021,Medium,Tier 3,Grocery Store,3329.79,4.7
BB0079,18.55,Non-Edible,0.08,Canned,OUT018,2003,Small,Tier 3,Grocery Store,2279.05,1.1
BB0080,7.07,Low Fat,0.058,Household,OUT046,2009,High,Tier 2,Supermarket,1625.12,4.3
BB0081,6.21,Non-Edible,0.145,Frozen Foods,OUT019,2007,Medium,Tier 1,Supermarket,2882.98,3.2
BB0082,13.61,Non-Edible,0.054,Vegetables,OUT049,2015,Medium,Tier 1,Grocery Store,4587.28,2.8
BB0083,17.82,Non-Edible,0.022,Baking Goods,OUT019,1999,High,Tier 2,Hypermarket,1230.19,4.9
BB0084,10.1,Low Fat,0.057,Household,OUT035,2017,High,Tier 3,Hypermarket,740.25,1.5
BB0085,3.06,Regular,0.058,Household,OUT027,2008,Medium,Tier 1,Grocery Store,2023.62,1.4
BB0086,5.7,Low Fat,0.061,Health,OUT019,1997,High,Tier 1,Grocery Store,2699.83,1.9
BB0087,13.73,Regular,0.147,Health,OUT018,1996,Small,Tier 3,Supermarket,3343.68,4.2
BB0088,8.6,Regular,0.184,Soft Drinks,OUT035,2019,Small,Tier 2,Supermarket,4254.65,3.5
BB0089,11.13,Regular,0.115,Baking Goods,OUT046,2014,Medium,Tier 1,Hypermarket,1580.79,1.7
BB0090,7.53,Regular,0.109,Snacks,OUT049,2010,High,Tier 1,Supermarket,4309.86,4.7
BB0091,11.84,Non-Edible,0.133,Frozen Foods,OUT019,2007,High,Tier 2,Supermarket,3264.65,3.1
BB0092,13.45,Low Fat,0.152,Baking Goods,OUT045,1996,High,Tier 3,Hypermarket,4528.56,3.2
BB0093,12.49,Low Fat,0.18,Snacks,OUT027,2005,Small,Tier 1,Supermarket,1226,3
BB0094,12.95,Non-Edible,0.176,Baking Goods,OUT049,2017,Small,Tier 3,Supermarket,4833.17,1.9
BB0095,15.43,Non-Edible,0.128,Vegetables,OUT045,2014,Medium,Tier 1,Hypermarket,1924.73,3.9
BB0096,17.81,Non-Edible,0.188,Health,OUT018,2022,High,Tier 2,Grocery Store,4832.64,2.8
BB0097,9.24,Non-Edible,0.032,Frozen Foods,OUT035,1998,High,Tier 2,Grocery Store,990.65,3.6
BB0098,14.92,Regular,0.178,Health,OUT019,2012,High,Tier 2,Supermarket,4914.18,1.4
BB0099,4.6,Non-Edible,0.197,Soft Drinks,OUT018,2022,High,Tier 1,Grocery Store,1843.8,4.9
BB0100,16.31,Regular,0.14,Health,OUT049,2005,High,Tier 1,Hypermarket,2558.4,2
BB0101,16.29,Low Fat,0.032,Dairy,OUT049,2003,Medium,Tier 3,Grocery Store,3477.37,3.4
BB0102,19.63,Non-Edible,0.126,Snacks,OUT046,2020,High,Tier 2,Supermarket,1868.08,1.4
BB0103,11.23,Low Fat,0.069,Frozen Foods,OUT049,1995,Small,Tier 3,Grocery Store,4831.19,1.7
BB0104,18.41,Regular,0.09,Soft Drinks,OUT018,2019,Medium,Tier 3,Grocery Store,2890.49,1.6
BB0105,17.57,Regular,0.091,Canned,OUT018,2013,Small,Tier 2,Grocery Store,3945.78,1.4
BB0106,18.04,Non-Edible,0.195,Snacks,OUT046,2004,Small,Tier 2,Grocery Store,2131.48,1
BB0107,13.68,Regular,0.187,Vegetables,OUT045,1996,Small,Tier 2,Grocery Store,931.78,4.3
BB0108,7.7,Non-Edible,0.097,Dairy,OUT045,2020,Small,Tier 1,Supermarket,1330.34,4.3
BB0109,10.7,Low Fat,0.136,Dairy,OUT027,2020,Medium,Tier 1,Grocery Store,2767.46,3.9
BB0110,19.55,Regular,0.152,Baking Goods,OUT018,2012,High,Tier 2,Grocery Store,1514.82,2.5
BB0111,14.5,Non-Edible,0.15,Soft Drinks,OUT046,1999,Medium,Tier 3,Grocery Store,3399.57,4.2
BB0112,19.04,Regular,0.06,Dairy,OUT035,2013,Medium,Tier 1,Hypermarket,831.21,3.8
BB0113,9.92,Regular,0.013,Snacks,OUT018,2006,Medium,Tier 2,Supermarket,3817.88,1.2
BB0114,13.49,Non-Edible,0.1,Health,OUT045,2022,Small,Tier 1,Hypermarket,2355.83,2
BB0115,8.19,Regular,0.037,Frozen Foods,OUT027,2017,Small,Tier 1,Supermarket,1004.28,2.6
BB0116,16.21,Low Fat,0.131,Vegetables,OUT019,2002,High,Tier 1,Supermarket,2392.71,1.7
BB0117,6.39,Low Fat,0.088,Household,OUT027,1998,Medium,Tier 2,Grocery Store,3370.5,3.1
BB0118,10.37,Regular,0.162,Dairy,OUT035,2004,Medium,Tier 1,Grocery Store,3391.8,3.2
BB0119,7.57,Low Fat,0.036,Dairy,OUT018,1996,High,Tier 1,Grocery Store,2623.67,2.6
BB0120,10.11,Non-Edible,0.043,Health,OUT046,1996,High,Tier 2,Supermarket,4689.68,3.3
BB0121,11.02,Regular,0.07,Fruits,OUT019,2006,Small,Tier 1,Grocery Store,1632,2.3
BB0122,16.29,Low Fat,0.181,Health,OUT046,2015,Medium,Tier 3,Hypermarket,2299.54,3.7
BB0123,7.79,Regular,0.05,Canned,OUT035,2010,High,Tier 1,Hypermarket,1395.77,4.8
BB0124,11.29,Non-Edible,0.026,Snacks,OUT027,2013,High,Tier 2,Hypermarket,1987.67,3.9
BB0125,9.12,Non-Edible,0.103,Baking Goods,OUT046,2019,Small,Tier 3,Supermarket,3169.29,1.2
BB0126,4.02,Non-Edible,0.033,Snacks,OUT049,1998,Medium,Tier 1,Grocery Store,2819.42,4.6
BB0127,17.28,Regular,0.079,Vegetables,OUT018,2004,Small,Tier 1,Hypermarket,4252.46,1.9
BB0128,16.21,Non-Edible,0.141,Vegetables,OUT019,2017,High,Tier 2,Grocery Store,3408.58,3.6
BB0129,4.95,Non-Edible,0.166,Fruits,OUT046,2007,High,Tier 1,Hypermarket,2137.39,5
BB0130,13.89,Regular,0.067,Dairy,OUT018,2002,Medium,Tier 1,Grocery Store,1358.32,2.8
BB0131,5.51,Low Fat,0.105,Dairy,OUT018,2004,High,Tier 3,Grocery Store,647.45,1.9
BB0132,7.7,Non-Edible,0.187,Household,OUT019,1999,Small,Tier 1,Grocery Store,1955.18,2.7
BB0133,19.56,Low Fat,0.125,Household,OUT019,2017,Small,Tier 1,Grocery Store,2241.91,2.2
BB0134,4.35,Regular,0.056,Canned,OUT018,1996,Medium,Tier 1,Grocery Store,3885.2,4.3
BB0135,5.01,Low Fat,0.127,Snacks,OUT018,2008,High,Tier 2,Grocery Store,3726.95,4.1
BB0136,8.82,Non-Edible,0.196,Fruits,OUT035,2014,Medium,Tier 3,Grocery Store,2313.16,1.7
BB0137,11.15,Non-Edible,0.049,Soft Drinks,OUT018,2003,Small,Tier 3,Hypermarket,3234.88,4.2
BB0138,4.53,Low Fat,0.03,Baking Goods,OUT049,1995,Small,Tier 2,Hypermarket,1078.31,3.5
BB0139,17.61,Non-Edible,0.197,Household,OUT018,2004,Small,Tier 1,Grocery Store,1242.11,3.4
BB0140,6,Non-Edible,0.191,Snacks,OUT045,1998,Small,Tier 1,Grocery Store,1331.56,4.2
BB0141,2.46,Non-Edible,0.122,Frozen Foods,OUT049,2017,High,Tier 1,Grocery Store,1021.23,5
BB0142,9.62,Non-Edible,0.134,Fruits,OUT046,2014,Medium,Tier 1,Supermarket,4448.6,2.6
BB0143,18.39,Low Fat,0.045,Health,OUT027,2010,High,Tier 1,Supermarket,2886.37,2.4
BB0144,18.11,Low Fat,0.059,Household,OUT018,2017,Small,Tier 2,Supermarket,4107.51,4.2
BB0145,16.12,Low Fat,0.099,Frozen Foods,OUT027,2016,High,Tier 2,Supermarket,4185.97,1.1
BB0146,9.45,Regular,0.151,Health,OUT049,2007,High,Tier 2,Hypermarket,4532.37,3.3
BB0147,4.48,Non-Edible,0.03,Frozen Foods,OUT019,2000,High,Tier 3,Grocery Store,3009.37,2.3
BB0148,15.02,Non-Edible,0.042,Canned,OUT049,2021,Medium,Tier 1,Supermarket,4456.8,2.2
BB0149,10.44,Regular,0.171,Fruits,OUT045,2004,High,Tier 2,Supermarket,1365.78,2.8
BB0150,17.35,Non-Edible,0.062,Soft Drinks,OUT035,2004,High,Tier 1,Hypermarket,2453.26,2
BB0151,14.54,Regular,0.027,Health,OUT049,2017,High,Tier 3,Grocery Store,1480.9,4.7
BB0152,17.8,Non-Edible,0.08,Household,OUT035,2011,High,Tier 3,Supermarket,534.08,1.4
BB0153,12.45,Non-Edible,0.166,Vegetables,OUT027,2017,High,Tier 1,Grocery Store,1611.53,5
BB0154,9.55,Regular,0.026,Frozen Foods,OUT046,2017,High,Tier 3,Hypermarket,1332.95,4.2
BB0155,4.73,Low Fat,0.048,Canned,OUT019,2018,Small,Tier 2,Hypermarket,704.27,4.1
BB0156,17.97,Regular,0.052,Snacks,OUT046,2020,Small,Tier 3,Grocery Store,4408.73,3.8
BB0157,17.37,Regular,0.015,Baking Goods,OUT049,2013,Small,Tier 3,Hypermarket,1632.73,5
BB0158,15.08,Low Fat,0.131,Canned,OUT045,2004,High,Tier 1,Hypermarket,3321.41,2.6
BB0159,16.32,Regular,0.125,Fruits,OUT018,2004,Medium,Tier 2,Hypermarket,4896.21,4.6
BB0160,5.59,Regular,0.069,Fruits,OUT035,2020,High,Tier 3,Supermarket,3494.92,4.3
BB0161,4.94,Regular,0.093,Health,OUT027,2017,Small,Tier 3,Hypermarket,892.72,4.7
BB0162,11.24,Low Fat,0.187,Canned,OUT018,2020,Small,Tier 2,Grocery Store,593.12,1.9
BB0163,11.1,Low Fat,0.083,Canned,OUT045,1999,Small,Tier 2,Grocery Store,508.27,4.5
BB0164,17.84,Regular,0.15,Household,OUT018,2021,Small,Tier 3,Hypermarket,2465.11,4.3
BB0165,14.06,Non-Edible,0.146,Soft Drinks,OUT045,2012,High,Tier 1,Grocery Store,2628.96,2.6
BB0166,9.52,Low Fat,0.036,Dairy,OUT019,2006,Small,Tier 3,Supermarket,4585.14,4.5
BB0167,9.2,Non-Edible,0.05,Vegetables,OUT019,2015,High,Tier 1,Supermarket,4521.53,4.2
BB0168,14.86,Non-Edible,0.111,Frozen Foods,OUT027,2003,Small,Tier 1,Hypermarket,2252.91,4
BB0169,7.76,Non-Edible,0.122,Dairy,OUT035,2016,Medium,Tier 3,Supermarket,1334.89,2.1
BB0170,14.61,Non-Edible,0.177,Fruits,OUT027,1995,Small,Tier 1,Grocery Store,4771.44,4.3
BB0171,14.54,Low Fat,0.142,Fruits,OUT027,2007,High,Tier 2,Grocery Store,2209.73,1.1
BB0172,2.29,Non-Edible,0.014,Soft Drinks,OUT045,2018,Small,Tier 3,Hypermarket,1824.89,2.4
BB0173,5.81,Regular,0.198,Soft Drinks,OUT035,2010,Medium,Tier 2,Supermarket,3423.76,3.4
BB0174,4.58,Low Fat,0.19,Frozen Foods,OUT018,1997,High,Tier 2,Grocery Store,3175.6,1.3
BB0175,17.55,Non-Edible,0.109,Snacks,OUT019,2003,Small,Tier 3,Hypermarket,2859.79,2.2
BB0176,10,Non-Edible,0.04,Household,OUT049,2007,Small,Tier 1,Supermarket,3104.68,2.6
BB0177,6.45,Non-Edible,0.199,Baking Goods,OUT046,2008,Medium,Tier 1,Hypermarket,4309.55,2.7
BB0178,8.57,Regular,0.164,Household,OUT046,2000,Small,Tier 1,Grocery Store,2138.04,1.1
BB0179,11.33,Non-Edible,0.063,Frozen Foods,OUT018,2014,High,Tier 3,Grocery Store,2822.87,3.5
BB0180,7.95,Low Fat,0.187,Baking Goods,OUT027,2013,High,Tier 1,Supermarket,1166.68,2.3
BB0181,12.99,Low Fat,0.064,Snacks,OUT046,2018,Medium,Tier 2,Hypermarket,4207.18,3.4
BB0182,7.76,Non-Edible,0.158,Baking Goods,OUT018,2008,Small,Tier 3,Hypermarket,719.55,1.7
BB0183,12.16,Non-Edible,0.168,Frozen Foods,OUT027,2020,Small,Tier 1,Supermarket,2587.93,1.5
BB0184,6.44,Regular,0.198,Health,OUT035,2009,Medium,Tier 3,Hypermarket,3885.25,2.5
BB0185,8.33,Regular,0.13,Snacks,OUT045,2005,High,Tier 2,Supermarket,3488.63,3.3
BB0186,9.18,Low Fat,0.077,Fruits,OUT035,2011,High,Tier 2,Hypermarket,3174.5,4.2
BB0187,11.13,Non-Edible,0.107,Soft Drinks,OUT019,2016,High,Tier 3,Hypermarket,1813.91,1.9
BB0188,13.98,Regular,0.148,Frozen Foods,OUT019,2001,Medium,Tier 3,Hypermarket,4688.75,3.6
BB0189,17.88,Regular,0.051,Dairy,OUT027,2001,High,Tier 2,Hypermarket,4232.41,4.2
BB0190,12.98,Regular,0.192,Snacks,OUT019,2005,Medium,Tier 1,Hypermarket,2536.3,1.1
BB0191,10.15,Low Fat,0.125,Canned,OUT018,2014,Medium,Tier 1,Supermarket,4079.86,2.7
BB0192,4.94,Low Fat,0.016,Canned,OUT018,2018,Small,Tier 2,Hypermarket,1494.76,2.3
BB0193,12.03,Low Fat,0.088,Household,OUT019,2005,Small,Tier 3,Grocery Store,2305.86,4.9
BB0194,11.74,Low Fat,0.032,Canned,OUT019,2000,High,Tier 2,Supermarket,1711.41,3.4
BB0195,7.73,Non-Edible,0.076,Health,OUT019,2021,High,Tier 2,Hypermarket,545.36,1.1
BB0196,15.48,Low Fat,0.04,Baking Goods,OUT019,1995,Small,Tier 1,Hypermarket,3747.62,4.6
BB0197,8.85,Regular,0.152,Canned,OUT027,2008,Small,Tier 3,Hypermarket,774.87,3.8
BB0198,9.63,Non-Edible,0.112,Health,OUT046,2005,High,Tier 2,Supermarket,4751.8,1.6
BB0199,2.23,Regular,0.102,Baking Goods,OUT019,2020,Small,Tier 1,Grocery Store,3439.69,1.9
BB0200,6.21,Regular,0.134,Snacks,OUT027,2007,Medium,Tier 2,Supermarket,3947.19,2.9
BB0201,10.95,Low Fat,0.021,Baking Goods,OUT046,1995,Medium,Tier 2,Grocery Store,3781.88,3.6
BB0202,14.32,Regular,0.021,Snacks,OUT049,1997,High,Tier 1,Supermarket,4690.71,3.4
BB0203,11.85,Regular,0.061,Fruits,OUT019,2000,Small,Tier 3,Grocery Store,4476.37,3.9
BB0204,4.95,Non-Edible,0.053,Baking Goods,OUT019,2012,Small,Tier 2,Grocery Store,4727.91,4.9
BB0205,10.85,Low Fat,0.101,Baking Goods,OUT035,2022,Small,Tier 2,Supermarket,2165.18,4.2
BB0206,14.37,Regular,0.096,Fruits,OUT049,2017,High,Tier 2,Grocery Store,1931.75,3.9
BB0207,19.62,Low Fat,0.017,Canned,OUT035,1999,Medium,Tier 2,Supermarket,3541.89,2.2
BB0208,11.23,Regular,0.033,Household,OUT019,2003,Small,Tier 2,Grocery Store,2433.99,2.9
BB0209,3.96,Low Fat,0.161,Household,OUT049,2016,Small,Tier 2,Supermarket,1646.92,4.4
BB0210,11.07,Low Fat,0.193,Frozen Foods,OUT049,2002,High,Tier 3,Grocery Store,2375.25,1.7
BB0211,15.83,Non-Edible,0.163,Canned,OUT049,2013,Medium,Tier 2,Hypermarket,4743.87,2.1
BB0212,5.24,Low Fat,0.036,Health,OUT046,1999,High,Tier 2,Grocery Store,1288.99,1.8
BB0213,7.64,Regular,0.167,Soft Drinks,OUT035,2009,High,Tier 2,Grocery Store,4136.23,2.4
BB0214,17.54,Low Fat,0.17,Health,OUT045,2021,Medium,Tier 3,Supermarket,2754.86,2.6
BB0215,6.98,Non-Edible,0.027,Vegetables,OUT049,2020,Small,Tier 3,Grocery Store,4075.2,1.4
BB0216,16.82,Non-Edible,0.102,Frozen Foods,OUT027,2017,Medium,Tier 2,Hypermarket,3374.17,2.1
BB0217,13.94,Non-Edible,0.086,Snacks,OUT045,2004,Medium,Tier 1,Hypermarket,4760.48,3.2
BB0218,10.37,Low Fat,0.155,Baking Goods,OUT045,2016,Small,Tier 1,Supermarket,4450.04,1.7
BB0219,17.62,Regular,0.17,Soft Drinks,OUT027,2012,High,Tier 1,Hypermarket,1835.83,2.5
BB0220,18.98,Low Fat,0.196,Fruits,OUT049,2004,High,Tier 1,Supermarket,2179.26,2.8
BB0221,8.1,Regular,0.058,Health,OUT027,2014,Medium,Tier 2,Hypermarket,3008.51,3.1
BB0222,3.5,Regular,0.057,Vegetables,OUT019,2011,Medium,Tier 1,Supermarket,1971.92,1.8
BB0223,7.81,Non-Edible,0.145,Snacks,OUT049,2007,Medium,Tier 2,Grocery Store,3792.18,1.8
BB0224,13.33,Non-Edible,0.144,Fruits,OUT049,2009,Small,Tier 1,Hypermarket,1021.36,3.8
BB0225,4.41,Non-Edible,0.174,Fruits,OUT018,2008,Small,Tier 2,Hypermarket,4867.85,2.9
BB0226,17.44,Non-Edible,0.046,Frozen Foods,OUT035,2007,Small,Tier 1,Supermarket,1085.24,4.2
BB0227,15.13,Regular,0.04,Canned,OUT035,2011,Medium,Tier 1,Hypermarket,4217.32,1.2
BB0228,2.45,Non-Edible,0.055,Fruits,OUT018,2002,High,Tier 3,Grocery Store,1934.34,3.3
BB0229,11.49,Regular,0.17,Baking Goods,OUT027,2005,Medium,Tier 1,Hypermarket,969.53,3.6
BB0230,8.97,Non-Edible,0.199,Canned,OUT045,2008,High,Tier 3,Grocery Store,3776,2.6
BB0231,2.78,Low Fat,0.174,Dairy,OUT046,2018,High,Tier 1,Hypermarket,2712.03,3.5
BB0232,14.49,Low Fat,0.044,Fruits,OUT045,2003,Small,Tier 3,Hypermarket,4064.38,3.1
BB0233,19.08,Non-Edible,0.139,Fruits,OUT027,1996,High,Tier 2,Grocery Store,3817.69,2.2
BB0234,2.42,Regular,0.161,Health,OUT019,2009,Medium,Tier 3,Grocery Store,828.4,1.6
BB0235,19.84,Non-Edible,0.174,Canned,OUT045,2015,High,Tier 2,Hypermarket,914.05,2.5
BB0236,11.52,Low Fat,0.064,Baking Goods,OUT035,2002,Medium,Tier 2,Hypermarket,611.57,3.9
BB0237,13.07,Regular,0.024,Baking Goods,OUT018,2012,Medium,Tier 2,Supermarket,710.36,2.4
BB0238,16.73,Regular,0.064,Snacks,OUT019,1996,High,Tier 1,Supermarket,2777.66,2.3
BB0239,12.81,Low Fat,0.131,Frozen Foods,OUT045,1998,Small,Tier 1,Supermarket,2311.51,2.2
BB0240,10.57,Non-Edible,0.166,Vegetables,OUT046,1999,High,Tier 2,Hypermarket,1097.66,4.4
BB0241,12.71,Non-Edible,0.104,Frozen Foods,OUT045,2009,Small,Tier 2,Hypermarket,4797.49,1.5
BB0242,13.04,Non-Edible,0.191,Dairy,OUT018,1998,Medium,Tier 2,Supermarket,2222.89,3.1
BB0243,4.69,Non-Edible,0.196,Soft Drinks,OUT046,2005,Medium,Tier 2,Grocery Store,2879.54,4.5
BB0244,4.91,Regular,0.07,Soft Drinks,OUT027,1997,Medium,Tier 2,Grocery Store,3801.12,1.5
